Trying solvers:
	uppsatIJCAR (scala uppsat.jar -a=0)
	uppsatNew (scala uppsat.jar -a=1)
<--- RESULTS --->
Status	uppsatIJCAR	uppsatNew		Filename
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/f23.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.125.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.175.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.25.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.75.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_000003_30000_1.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_3000_1.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_1.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_2.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_3.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_4.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_5.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_6.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_7.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_3_1.smt2, -, -
sat, sat, 3.8483315, 5.752548, 2, 2,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.10.smt2, sat, sat
sat, sat, 3.7075157, 3.2966216, 1, 1,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.20.smt2, sat, sat
sat, sat, 4.9248157, 3.4388497, 1, 1,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.30.smt2, sat, sat
sat, sat, 1.3590689, 1.63949, 2, 2,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.3.smt2, sat, sat
sat, sat, 18.163752, 18.702677, 2, 2,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.40.smt2, sat, sat
sat, sat, 11.287479, 9.831348, 1, 1,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.50.smt2, sat, sat
sat, sat, 2.0456247, 1.8404531, 1, 1,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult2.c.10.smt2, sat, sat
sat, sat, 4.041958, 3.5155761, 1, 1,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult2.c.20.smt2, sat, sat
sat, sat, 5.9743667, 4.9986506, 1, 1,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult2.c.30.smt2, sat, sat
sat, sat, 0.75564194, 1.771023, 1, 2,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult2.c.3.smt2, sat, sat
sat, sat, 18.428097, 34.450043, 2, 2,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult2.c.40.smt2, sat, sat
sat, sat, 11.794981, 9.588539, 1, 1,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult2.c.50.smt2, sat, sat
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.1.1.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.1.2.i.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/newton.1.3.i.smt2, -, -
