Trying solvers:
	uppsatIJCAR (scala uppsat.jar -a=0)
	uppsatNew (scala uppsat.jar -a=1)
<--- RESULTS --->
Status	uppsatIJCAR	uppsatNew		Filename
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/sat/sin2.c.2.smt2, -, -
sat, sat, 25.950993, 24.707125, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/sine.1.0.i.smt2, sat, sat
unsat, unsat, 7.637196, 6.8738823, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/sine.2.0.i.smt2, unsat, unsat
unsat, unsat, 6.9602213, 6.930708, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/sine.3.0.i.smt2, unsat, unsat
unsat, unsat, 6.926676, 7.0348864, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/sine.4.0.i.smt2, unsat, unsat
unsat, unsat, 6.9741583, 6.8209405, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/sine.5.0.i.smt2, unsat, unsat
unsat, unsat, 6.8011265, 7.156146, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/sine.6.0.i.smt2, unsat, unsat
unsat, unsat, 7.0686283, 7.0374885, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/sine.7.0.i.smt2, unsat, unsat
unsat, unsat, 6.984155, 6.8944483, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/sine.8.0.i.smt2, unsat, unsat
unsat, unsat, 6.7174077, 6.827005, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/square.1.0.i.smt2, unsat, unsat
unsat, unsat, 6.8922343, 6.688453, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/square.2.0.i.smt2, unsat, unsat
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/sat/square.3.0.i.smt2, -, -
unsat, unsat, 7.3104186, 6.8140855, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/square.4.0.i.smt2, unsat, unsat
unsat, unsat, 7.2120695, 6.896537, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/square.5.0.i.smt2, unsat, unsat
unsat, unsat, 6.713908, 6.6921096, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/square.6.0.i.smt2, unsat, unsat
unsat, unsat, 10.53207, 10.811552, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/square.7.0.i.smt2, unsat, unsat
unsat, unsat, 12.468333, 12.465685, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/square.8.0.i.smt2, unsat, unsat
sat, sat, 0.15982747, 0.17803548, 1, 1,../../../benchmarks/QF_FP_R/griggio/sat/square_and_power_inverse.smt2, sat, sat
unsat, unsat, 1.9724427, 1.9744629, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/square.smt2, unsat, unsat
sat, sat, 17.819963, 16.94988, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/test_v3_r3_vr10_c1_s14052.smt2, sat, sat
-, sat, t/o, 56.446396, -, 6,../../../benchmarks/QF_FP_R/griggio/sat/test_v3_r3_vr10_c1_s24300.smt2, -, sat
sat, sat, 41.542057, 41.935783, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/test_v3_r3_vr10_c1_s29304.smt2, sat, sat
sat, sat, 49.686203, 55.491142, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/test_v3_r3_vr1_c1_s10392.smt2, sat, sat
unsat, unsat, 11.885929, 12.156064, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/test_v3_r3_vr1_c1_s5578.smt2, unsat, unsat
unsat, unsat, 51.583313, 50.803562, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/test_v3_r3_vr1_c1_s6731.smt2, unsat, unsat
sat, sat, 15.449796, 16.259472, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/test_v3_r3_vr5_c1_s16641.smt2, sat, sat
sat, sat, 15.3672905, 17.420712, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/test_v3_r3_vr5_c1_s16867.smt2, sat, sat
sat, sat, 15.690089, 16.493889, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/test_v3_r3_vr5_c1_s26769.smt2, sat, sat
