Trying solvers:
	IJCAR(z3) (scala uppsat.jar -a=0)
	FxptRef(z3) (scala uppsat.jar -a=1)
	IJCAR(MS) (scala uppsat.jar -a=0 -b=1)
	FxptRef(MS) (scala uppsat.jar -a=1 -b=1)
	IJCAR(ACDCL) (scala uppsat.jar -a=0 -b=2)
	FxptRef(ACDCL) (scala uppsat.jar -a=1 -b=2)
<--- RESULTS --->
	 Time, Iterations, Answer
File	IJCAR(z3), FxptRef(z3), IJCAR(MS), FxptRef(MS), IJCAR(ACDCL), FxptRef(ACDCL), IJCAR(z3), FxptRef(z3), IJCAR(MS), FxptRef(MS), IJCAR(ACDCL), FxptRef(ACDCL), IJCAR(z3), FxptRef(z3), IJCAR(MS), FxptRef(MS), IJCAR(ACDCL), FxptRef(ACDCL)
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r12_vr5_c1_s14336.smt2, t/o, t/o, t/o, 401.16623, t/o, t/o, -, -, -, 2, -, -, -, -, -, sat, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r12_vr5_c1_s29826.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r12_vr5_c1_s8938.smt2, t/o, t/o, t/o, t/o, 596.87335, t/o, -, -, -, -, 7, -, -, -, -, -, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r17_vr10_c1_s18654.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r17_vr10_c1_s3680.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r17_vr10_c1_s8773.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r17_vr1_c1_s23882.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r17_vr1_c1_s24331.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r17_vr1_c1_s30331.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r17_vr5_c1_s25451.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r17_vr5_c1_s2807.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r17_vr5_c1_s4772.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r7_vr10_c1_s10625.smt2, t/o, t/o, t/o, 244.44997, t/o, t/o, -, -, -, 2, -, -, -, -, -, sat, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r7_vr10_c1_s24535.smt2, t/o, t/o, t/o, t/o, t/o, 15.275914, -, -, -, -, -, 2, -, -, -, -, -, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r7_vr10_c1_s32506.smt2, t/o, t/o, t/o, 51.09365, t/o, t/o, -, -, -, 1, -, -, -, -, -, sat, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r7_vr1_c1_s22845.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r7_vr1_c1_s24449.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r7_vr1_c1_s4574.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r7_vr5_c1_s14675.smt2, t/o, t/o, t/o, 11.063544, t/o, 43.035706, -, -, -, 1, -, 2, -, -, -, sat, -, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r7_vr5_c1_s19694.smt2, t/o, t/o, t/o, t/o, t/o, t/o, -, -, -, -, -, -, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/test_v7_r7_vr5_c1_s3582.smt2, t/o, t/o, t/o, 16.671041, t/o, 28.668299, -, -, -, 1, -, 2, -, -, -, sat, -, sat
