Trying solvers:
	z3 (z3 -smt2 -st)
	MathSat (mathsat -stats)
	ACDCL (mathsat -stats -theory.fp.mode=2)
<--- RESULTS --->
	 Time, Iterations, Answer
File	z3, MathSat, ACDCL, z3, MathSat, ACDCL, z3, MathSat, ACDCL
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/e2a_2.c.smt2, 0.75, 0.192, 0.008, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/e2a_3.c.smt2, 0.77, 0.188, 0.004, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/e3.c.smt2, 9.16, 0.0, 0.0, -, -, -, unsat, unsat, unsat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/e3_1.c.smt2, 7.87, 3.348, 0.024, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/e3_2.c.smt2, 6.03, 1.176, 0.072, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/f23.smt2, 20.68, 90.018, 98.726, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.125.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.175.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.25.smt2, 1048.29, 437.207, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.75.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mul_000003_30000_1.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mul_03_3000_1.smt2, t/o, t/o, t/o, -, -, -, -, -, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_1.smt2, 84.03, 26.578, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_2.smt2, 85.55, 19.281, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_3.smt2, 96.07, 32.154, t/o, -, -, -, unsat, unsat, -
